id,uid,name,parent,href,hierarchy,subcategories
MCO432737,,Violas,MCO442089,https://listado.mercadolibre.com.co/instrumentos-cuerdas-violas/#CATEGORY_ID=MCO432737&S=hc_instrumentos-musicales,3,0
MCO3023,,Violines,MCO442089,https://listado.mercadolibre.com.co/instrumentos-cuerdas-violines/#CATEGORY_ID=MCO3023&S=hc_instrumentos-musicales,3,0
MCO384711,,Violoncellos,MCO442089,https://listado.mercadolibre.com.co/instrumentos-cuerdas-violoncellos/#CATEGORY_ID=MCO384711&S=hc_instrumentos-musicales,3,0
MCO3005,,Instrumentos de Viento,MCO1182,https://listado.mercadolibre.com.co/instrumentos-musicales/instrumentos-viento/#CATEGORY_ID=MCO3005&S=hc_instrumentos-musicales,2,20
MCO417646,,Accesorios,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-accesorios/#CATEGORY_ID=MCO417646&S=hc_instrumentos-musicales,3,0
MCO4615,,Acordeones,MCO3005,https://listado.mercadolibre.com.co/instrumentos-musicales/instrumentos-viento/acordeones/#CATEGORY_ID=MCO4615&S=hc_instrumentos-musicales,3,0
MCO4612,,Armónicas,MCO3005,https://listado.mercadolibre.com.co/instrumentos-musicales/instrumentos-viento/armonicas/#CATEGORY_ID=MCO4612&S=hc_instrumentos-musicales,3,0
MCO442181,,Bandoneones,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-bandoneones/#CATEGORY_ID=MCO442181&S=hc_instrumentos-musicales,3,0
MCO434802,,Berrantes,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-berrantes/#CATEGORY_ID=MCO434802&S=hc_instrumentos-musicales,3,0
MCO6812,,Clarinetes,MCO3005,https://listado.mercadolibre.com.co/instrumentos-musicales/instrumentos-viento/clarinetes/#CATEGORY_ID=MCO6812&S=hc_instrumentos-musicales,3,0
MCO430920,,Cornos Franceses,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-cornos-franceses/#CATEGORY_ID=MCO430920&S=hc_instrumentos-musicales,3,0
MCO417841,,Didgeridoos,MCO3005,https://listado.mercadolibre.com.co/instrumentos-viento-didgeridoos/#CATEGORY_ID=MCO417841&S=hc_instrumentos-musicales,3,0
